id,sentence,low_quality_sentence
1,环保局实施社区治理机制，推动了区域协调发展。,环保局社区治理机制，推动了区域协调发展。
2,环保局完成社会保障制度，优化了资源利用效率。,环保局社会保障制度，优化了资源利用效率。
3,卫生部门推动户籍管理工作，推动了区域协调发展。,卫生部门推动户籍管卫生部门推动户籍管了区域协调发展。
4,住房和城乡建设局处理市场监管工作，改善了人居环境。,住房和城乡建设局处理市场
5,社区完成城乡一体化改革，促进了社会稳定。,社区城乡一体化改革，促进了社会稳定。
6,住房和城乡建设局发布公共资源配置，保障了居民的基本权益。,住房和城乡建设局发住房和城乡建设局发置，保障了居民的基本权益。
7,住房和城乡建设局优化疫情防控方案，改善了人居环境。,住房和城乡建住房和城乡建人居环境。
8,卫生部门发布基础设施建设，提高了群众满意度。,卫生部门发
9,社区实施交通执法工作，方便了群众办事。,社区交通执法工作，方便了群众办事。
10,卫生部门推动服务措施，促进了社会稳定。,卫生部门推动服务措施，促进了社会稳定。
11,卫生部门检查服务措施，促进了社会稳定。,卫生部门检查服务措施，促进了社会稳定。
12,政府检查市场监管工作，方便了群众办事。,政府检查市政府检查市工作，方便了群众办事。
13,市民优化交通规划，促进了社会稳定。,市民交通规划，促进了社会稳定。
14,住房和城乡建设局推动相关政策，推动了区域协调发展。,策展域住发，相关推设城局
15,住房和城乡建设局实施市场监管工作，促进了社会稳定。,住房和城乡住房和城乡促进了社会稳定。
16,公安机关发布公共资源配置，保障了居民的基本权益。,公安机关公共资源配置，保障了居民的基本权益。
17,教育局优化城乡一体化改革，提升了治理现代化水平。,教育局城乡一体化改革，提升了治理现代化水平。
18,交通管理局发布违法行为，提升了治理现代化水平。,交通管理局违法行为，提升了治理现代化水平。
19,教育局处理违法行为，方便了群众办事。,教育局处理教育局处理为，方便了群众办事。
20,社区推动纳税申报流程，提高了群众满意度。,社区纳税申报流程，提高了群众满意度。
21,政府发布办事流程，促进了社会稳定。,程办定稳流。发府
22,政府完善公共资源配置，促进了社会稳定。,政府完善公共资源配政府完善公共资源配定。
23,社区推动交通规划，促进了社会稳定。,稳规推。动进区定
24,市民完善疫情防控方案，增强了公共服务能力。,市民完善疫情防控方案市民完善疫情防控方案能力。
25,税务局推动交通规划，保障了居民的基本权益。,务的益权税障推居。，
26,政府监督社区治理机制，提升了治理现代化水平。,现，督理区社府了提升代
27,教育局处理社会保障制度，改善了人居环境。,处环了局社保教居会，
28,交通管理局检查疫情防控方案，促进了社会稳定。,交通管理局检查
29,环保局实施相关政策，推动了区域协调发展。,环保局实施相关环保局实施相关域协调发展。
30,税务局检查市场监管工作，方便了群众办事。,场方众管查事办工务检
31,市民完成公共资源配置，增强了公共服务能力。,市民完成公市民完成公
32,市民实施便民服务，促进了社会稳定。,市民便民服务，促进了社会稳定。
33,环保局实施教育资源配置，优化了资源利用效率。,环保局教育资源配置，优化了资源利用效率。
34,环保局检查便民服务，方便了群众办事。,环保局检查便民服务，方便了群众办事。
35,交通管理局推动城乡一体化改革，方便了群众办事。,便管改城了乡理事，群交
36,市民监督交通执法工作，推动了区域协调发展。,工监域推了通执协。区
37,环保局实施公共资源配置，保障了居民的基本权益。,环保局实施公共资
38,社区完成便民服务，优化了资源利用效率。,社区便民服务，优化了资源利用效率。
39,市民完成便民服务，促进了社会稳定。,市民完成便民服务，促进了社会稳定。
40,环保局检查相关政策，保障了居民的基本权益。,环保局检查
41,税务局推动市场监管工作，方便了群众办事。,税务局推动税务局推动众办事。
42,交通管理局检查环境整治，保障了居民的基本权益。,障益的局检民查，本基整
43,环保局发布纳税申报流程，增强了公共服务能力。,环保局发布纳税申环保局发布纳税申
44,交通管理局完善应急预案，增强了公共服务能力。,善应增能完案管强急通公
45,市民发布交通规划，提升了治理现代化水平。,，化代民规划。升治交
46,税务局发布社会保障制度，方便了群众办事。,众办方了社局障务制便
47,交通管理局优化应急预案，方便了群众办事。,交通管理局优化应急预案，方便了群众办事。
48,税务局优化环境整治，保障了居民的基本权益。,税务局环境整治，保障了居民的基本权益。
49,税务局实施应急预案，规范了行政管理流程。,规案政范管流理急。施
50,环保局发布户籍管理工作，保障了居民的基本权益。,环保局户籍管理工作，保障了居民的基本权益。
51,环保局推动纳税申报流程，方便了群众办事。,环保局纳税申报流程，方便了群众办事。
52,教育局优化违法行为，优化了资源利用效率。,教育局优化违法行为，优化了资源利用效率。
53,交通管理局发布交通执法工作，改善了人居环境。,交通管理局发布交通执法
54,社区监督市场监管工作，改善了人居环境。,社区监督市场监管工作，改善了人居环境。
55,交通管理局检查应急预案，方便了群众办事。,交通管理局应急预案，方便了群众办事。
56,公安机关发布办事流程，方便了群众办事。,公安机关发布办事流程，方便了群众办事。
57,市民处理办事流程，增强了公共服务能力。,市民处理办事流程，增市民处理办事流程，增务能力。
58,税务局发布户籍管理工作，提升了治理现代化水平。,税务局户籍管理工作，提升了治理现代化水平。
59,环保局实施相关政策，增强了公共服务能力。,环保局相关政策，增强了公共服务能力。
60,教育局优化环境整治，提升了治理现代化水平。,教育局优化环境
61,社区处理户籍管理工作，增强了公共服务能力。,区社共处务增了作工理
62,教育局完善违法行为，改善了人居环境。,善改违环居，教育局
63,环保局出台户籍管理工作，优化了资源利用效率。,环保局出台环保局出台工作，优化了资源利用效率。
64,公安机关优化社区治理机制，提高了群众满意度。,理区，安机机高度公制治
65,市民推动基础设施建设，保障了居民的基本权益。,市民推动基础设施建设
66,卫生部门推动办事流程，保障了居民的基本权益。,权障本居民保卫的基部事
67,交通管理局监督交通规划，促进了社会稳定。,交通管理局交通规划，促进了社会稳定。
68,公安机关完善基础设施建设，保障了居民的基本权益。,公安机关完善基公安机关完善基本权益。
69,交通管理局完成公共资源配置，增强了公共服务能力。,管源成完局服置共能。力理
70,市民推动教育资源配置，推动了区域协调发展。,市民推动教育资源配
71,公安机关实施服务措施，方便了群众办事。,公安机关实施服务措施，方便了群众办事。
72,教育局完善交通执法工作，优化了资源利用效率。,教育局完善交通执法工
73,教育局推动办事流程，规范了行政管理流程。,教育局推动办事教育局推动办事规范了行政管理流程。
74,交通管理局推动环境整治，改善了人居环境。,交通管理局推动环境整治，改善了人居环境。
75,公安机关出台交通规划，规范了行政管理流程。,规。关管，程政安划台
76,教育局优化违法行为，增强了公共服务能力。,教育局优化违法行为，增强了公共服务能力。
77,政府优化违法行为，增强了公共服务能力。,化力政务。强增公法
