id,sentence,low_quality_sentence
1,环保局实施社区治理机制，推动了区域协调发展。,环保局实施社区治环保局实施社区治展。
2,环保局完成社会保障制度，优化了资源利用效率。,障局社制保化资率环成完
3,卫生部门推动户籍管理工作，推动了区域协调发展。,协动展了推。推户工域动
4,住房和城乡建设局处理市场监管工作，改善了人居环境。,住房和城乡建设局市场监管工作，改善了人居环境。
5,社区完成城乡一体化改革，促进了社会稳定。,社区完成城社区完成城定。
6,住房和城乡建设局发布公共资源配置，保障了居民的基本权益。,住房和城乡建设局公共资源配置，保障了居民的基本权益。
7,住房和城乡建设局优化疫情防控方案，改善了人居环境。,优房了乡防和建化方城。设
8,卫生部门发布基础设施建设，提高了群众满意度。,卫生部门基础设施建设，提高了群众满意度。
9,社区实施交通执法工作，方便了群众办事。,办工交社。法，方了
10,卫生部门推动服务措施，促进了社会稳定。,卫生部门服务措施，促进了社会稳定。
11,卫生部门检查服务措施，促进了社会稳定。,进部服生社卫定会查
12,政府检查市场监管工作，方便了群众办事。,检事办管监市便府。
13,市民优化交通规划，促进了社会稳定。,市民交通规划，促进了社会稳定。
14,住房和城乡建设局推动相关政策，推动了区域协调发展。,住房和城乡建住房和城乡建域协调发展。
15,住房和城乡建设局实施市场监管工作，促进了社会稳定。,住房和城乡建设局实施住房和城乡建设局实施，促进了社会稳定。
16,公安机关发布公共资源配置，保障了居民的基本权益。,保基关共益资了。公发安配
17,教育局优化城乡一体化改革，提升了治理现代化水平。,代化化体化平育升，革理提
18,交通管理局发布违法行为，提升了治理现代化水平。,交通管理局发布违法行交通管理局发布违法行为，提升了治理现代化水平。
19,教育局处理违法行为，方便了群众办事。,。方众行为局了育违
20,社区推动纳税申报流程，提高了群众满意度。,社区推动纳社区推动纳群众满意度。
21,政府发布办事流程，促进了社会稳定。,政府发布办事流程，促政府发布办事流程，促了社会稳定。
22,政府完善公共资源配置，促进了社会稳定。,政府公共资源配置，促进了社会稳定。
23,社区推动交通规划，促进了社会稳定。,社区推动交通规划，促进了社会稳定。
24,市民完善疫情防控方案，增强了公共服务能力。,案善强共。务能服防市
25,税务局推动交通规划，保障了居民的基本权益。,税务局交通规划，保障了居民的基本权益。
26,政府监督社区治理机制，提升了治理现代化水平。,制平了提。升督现府，机
27,教育局处理社会保障制度，改善了人居环境。,教育局处理教育局处理保障制度，改善了人居环境。
28,交通管理局检查疫情防控方案，促进了社会稳定。,交通管理局检查疫交通管理局检查疫了社会稳定。
29,环保局实施相关政策，推动了区域协调发展。,环保局实施相关政策，推动了区域协调发展。
30,税务局检查市场监管工作，方便了群众办事。,税务局市场监管工作，方便了群众办事。
31,市民完成公共资源配置，增强了公共服务能力。,能资成市置配公共共完
32,市民实施便民服务，促进了社会稳定。,市民实施便民服务，促进了社会稳定。
33,环保局实施教育资源配置，优化了资源利用效率。,环保局实施环保局实施化了资源利用效率。
34,环保局检查便民服务，方便了群众办事。,环保局检查便环保局检查便方便了群众办事。
35,交通管理局推动城乡一体化改革，方便了群众办事。,革推理化众城动管。群，
36,市民监督交通执法工作，推动了区域协调发展。,市民监督交
37,环保局实施公共资源配置，保障了居民的基本权益。,环保局公共资源配置，保障了居民的基本权益。
38,社区完成便民服务，优化了资源利用效率。,社区完成便民服务，社区完成便民服务，
39,市民完成便民服务，促进了社会稳定。,市民便民服务，促进了社会稳定。
40,环保局检查相关政策，保障了居民的基本权益。,环保局检查
41,税务局推动市场监管工作，方便了群众办事。,税务局推动市场监管工作，方便了群众办事。
42,交通管理局检查环境整治，保障了居民的基本权益。,检本了基交居益保，民理
43,环保局发布纳税申报流程，增强了公共服务能力。,报，公力流程。保务增能
44,交通管理局完善应急预案，增强了公共服务能力。,交通管理局应急预案，增强了公共服务能力。
45,市民发布交通规划，提升了治理现代化水平。,市民发布交通市民发布交通提升了治理现代化水平。
46,税务局发布社会保障制度，方便了群众办事。,便，了税局保制群度众
47,交通管理局优化应急预案，方便了群众办事。,交通管理局交通管理局群众办事。
48,税务局优化环境整治，保障了居民的基本权益。,税务局优化环境整治，税务局优化环境整治，益。
49,税务局实施应急预案，规范了行政管理流程。,税务局应急预案，规范了行政管理流程。
50,环保局发布户籍管理工作，保障了居民的基本权益。,环保局发布户籍管理环保局发布户籍管理基本权益。
51,环保局推动纳税申报流程，方便了群众办事。,环保局纳税申报流程，方便了群众办事。
52,教育局优化违法行为，优化了资源利用效率。,教育局优化教育局优化效率。
53,交通管理局发布交通执法工作，改善了人居环境。,交通管理局交通执法工作，改善了人居环境。
54,社区监督市场监管工作，改善了人居环境。,管了。善市区社居改
55,交通管理局检查应急预案，方便了群众办事。,交通管理局检查应急预案，方便了群众办事。
56,公安机关发布办事流程，方便了群众办事。,公安机关办事流程，方便了群众办事。
57,市民处理办事流程，增强了公共服务能力。,市民办事流程，增强了公共服务能力。
58,税务局发布户籍管理工作，提升了治理现代化水平。,税务局发布
59,环保局实施相关政策，增强了公共服务能力。,环保局相关政策，增强了公共服务能力。
60,教育局优化环境整治，提升了治理现代化水平。,教育局优化环教育局优化环。
